epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.97,1.09384,0.91636,0.85237,0.82838,0.54373,0.62245,0.40215,0.98091,0.528,0.82713,0.00332758,0.00332758,0.00332758
2,436.711,1.10694,0.59995,0.84521,0.85089,0.56664,0.63836,0.40471,1.00125,0.60599,0.83289,0.00661695,0.00661695,0.00661695
3,646.375,1.1398,0.60447,0.85353,0.86944,0.56463,0.65797,0.43061,0.94163,0.5169,0.82816,0.00986232,0.00986232,0.00986232
4,856.458,1.0896,0.57598,0.85128,0.84718,0.57892,0.64956,0.42622,0.91531,0.4987,0.82635,0.009802,0.009802,0.009802
5,1067.29,1.01602,0.52716,0.84185,0.86125,0.59104,0.66988,0.44244,0.91406,0.4705,0.82689,0.009736,0.009736,0.009736
6,1277.48,0.98205,0.50506,0.83674,0.87425,0.6002,0.69115,0.46748,0.83483,0.44,0.81526,0.00967,0.00967,0.00967
7,1487.54,0.95133,0.49038,0.83408,0.87588,0.59689,0.69412,0.47443,0.83415,0.43688,0.81708,0.009604,0.009604,0.009604
8,1697.7,0.92389,0.47372,0.83027,0.87701,0.61268,0.70665,0.48779,0.81113,0.41878,0.81349,0.009538,0.009538,0.009538
9,1906.94,0.91072,0.46148,0.82766,0.88763,0.61679,0.71944,0.4999,0.8099,0.41139,0.81357,0.009472,0.009472,0.009472
10,2116.8,0.89219,0.45352,0.82606,0.90224,0.61523,0.72693,0.50288,0.79721,0.40179,0.81161,0.009406,0.009406,0.009406
11,2328.46,0.8793,0.44383,0.82351,0.88438,0.62859,0.73387,0.51233,0.78649,0.39179,0.80947,0.00934,0.00934,0.00934
12,2539.06,0.86797,0.43863,0.82252,0.88677,0.62851,0.73659,0.51833,0.77747,0.39112,0.80848,0.009274,0.009274,0.009274
13,2748.26,0.86462,0.43151,0.8203,0.89592,0.64199,0.74204,0.52083,0.77522,0.3861,0.80698,0.009208,0.009208,0.009208
14,2956.83,0.85606,0.42804,0.81911,0.89616,0.6346,0.73851,0.5158,0.76577,0.38189,0.80781,0.009142,0.009142,0.009142
15,3167.03,0.84536,0.42369,0.81877,0.89199,0.635,0.74178,0.52403,0.7618,0.3766,0.80607,0.009076,0.009076,0.009076
16,3378.11,0.83998,0.41943,0.81748,0.89463,0.63931,0.74671,0.52677,0.75222,0.37016,0.80504,0.00901,0.00901,0.00901
17,3588.93,0.832,0.41559,0.81743,0.90388,0.64162,0.74657,0.52869,0.7438,0.36812,0.80406,0.008944,0.008944,0.008944
18,3798.22,0.82988,0.41221,0.81725,0.88239,0.64495,0.74825,0.53243,0.7409,0.36779,0.80372,0.008878,0.008878,0.008878
19,4008.38,0.8268,0.40812,0.81532,0.91237,0.64188,0.75141,0.5363,0.73641,0.35936,0.80268,0.008812,0.008812,0.008812
20,4219,0.82169,0.40684,0.81493,0.91114,0.64121,0.75432,0.53612,0.74182,0.36027,0.80377,0.008746,0.008746,0.008746
21,4429.48,0.81456,0.40339,0.81414,0.90929,0.64353,0.76048,0.54652,0.73343,0.35567,0.80218,0.00868,0.00868,0.00868
22,4639.65,0.80806,0.39968,0.81403,0.89134,0.65587,0.75455,0.53961,0.73113,0.35417,0.80075,0.008614,0.008614,0.008614
23,4850.67,0.81147,0.39944,0.81329,0.903,0.65251,0.75937,0.54486,0.7277,0.35077,0.80058,0.008548,0.008548,0.008548
24,5060.87,0.80276,0.39602,0.81282,0.89428,0.65509,0.7597,0.54471,0.72667,0.34808,0.8012,0.008482,0.008482,0.008482
25,5270.43,0.80101,0.39397,0.81127,0.89098,0.65273,0.76129,0.54876,0.7225,0.3475,0.80077,0.008416,0.008416,0.008416
26,5481.27,0.79811,0.39151,0.81156,0.89189,0.6491,0.7571,0.54585,0.71932,0.34632,0.79961,0.00835,0.00835,0.00835
