epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.541,5.39674,8.43803,4.46061,0.00086,0.01156,0.00048,0.00016,5.13292,5.40005,4.17757,0.00332758,0.00332758,0.00332758
2,446.926,2.69916,3.22483,2.06726,0.67525,0.33087,0.35555,0.1853,1.56249,1.02436,1.05843,0.00661695,0.00661695,0.00661695
3,660.881,1.65025,1.09521,1.05212,0.75423,0.43015,0.47345,0.27188,1.28864,0.76832,0.95834,0.00986232,0.00986232,0.00986232
4,873.314,1.39972,0.83309,0.96992,0.78995,0.48261,0.54345,0.32523,1.14802,0.6448,0.91013,0.009802,0.009802,0.009802
5,1085.78,1.23046,0.68884,0.92567,0.82258,0.50789,0.58481,0.37009,1.02304,0.55537,0.88608,0.009736,0.009736,0.009736
6,1298.35,1.15009,0.62174,0.90564,0.82655,0.52101,0.60776,0.39281,0.96673,0.52719,0.87059,0.00967,0.00967,0.00967
7,1511.05,1.09789,0.58117,0.89432,0.85021,0.54484,0.63448,0.41358,0.9395,0.49128,0.86483,0.009604,0.009604,0.009604
8,1723.47,1.05223,0.55119,0.88674,0.83413,0.54377,0.63221,0.41554,0.90682,0.47503,0.85827,0.009538,0.009538,0.009538
9,1936.34,1.02513,0.52854,0.87843,0.85717,0.54949,0.65301,0.43486,0.89888,0.45966,0.85664,0.009472,0.009472,0.009472
10,2148.56,0.99983,0.51537,0.87622,0.86475,0.55754,0.66431,0.44846,0.86604,0.44628,0.84875,0.009406,0.009406,0.009406
11,2361.19,0.97714,0.50104,0.87012,0.86924,0.56914,0.66743,0.44691,0.86015,0.43374,0.84734,0.00934,0.00934,0.00934
12,2573.89,0.95903,0.49194,0.86765,0.86753,0.57049,0.67271,0.4532,0.83751,0.42398,0.84215,0.009274,0.009274,0.009274
13,2786.38,0.94702,0.47865,0.86168,0.87145,0.57174,0.6791,0.46131,0.83547,0.41918,0.84153,0.009208,0.009208,0.009208
14,2998.85,0.93391,0.47269,0.85849,0.87337,0.57171,0.6762,0.46047,0.82084,0.41308,0.83834,0.009142,0.009142,0.009142
15,3211.25,0.92067,0.46511,0.85784,0.86763,0.59373,0.69579,0.47612,0.82734,0.40494,0.8372,0.009076,0.009076,0.009076
16,3424.35,0.91128,0.45834,0.85506,0.86637,0.58738,0.6904,0.47706,0.80059,0.39872,0.83482,0.00901,0.00901,0.00901
17,3636.64,0.9001,0.45254,0.85527,0.87698,0.59337,0.69788,0.48141,0.79927,0.39108,0.83396,0.008944,0.008944,0.008944
18,3849.31,0.89571,0.44702,0.85392,0.85862,0.60403,0.70299,0.4871,0.78661,0.38892,0.83238,0.008878,0.008878,0.008878
19,4061.94,0.88604,0.4421,0.84978,0.87826,0.59541,0.70212,0.48702,0.78527,0.38901,0.83091,0.008812,0.008812,0.008812
20,4274.77,0.88109,0.43985,0.85007,0.88099,0.60645,0.71449,0.49516,0.77991,0.3802,0.82947,0.008746,0.008746,0.008746
21,4487.9,0.87414,0.43661,0.84921,0.86905,0.60939,0.7098,0.49242,0.77405,0.37674,0.82772,0.00868,0.00868,0.00868
22,4700.21,0.86443,0.43104,0.84784,0.87304,0.6095,0.71321,0.49892,0.76412,0.37227,0.82635,0.008614,0.008614,0.008614
23,4913.05,0.86332,0.42859,0.8467,0.8835,0.60816,0.71043,0.49761,0.76088,0.37446,0.82549,0.008548,0.008548,0.008548
24,5125.92,0.85314,0.42509,0.84486,0.88975,0.60123,0.70978,0.49778,0.75735,0.36961,0.82434,0.008482,0.008482,0.008482
25,5338.44,0.84996,0.42107,0.84343,0.88109,0.60561,0.7097,0.49715,0.75446,0.3679,0.82419,0.008416,0.008416,0.008416
26,5550.79,0.84482,0.4166,0.84271,0.87529,0.61266,0.71802,0.51055,0.7475,0.36184,0.82348,0.00835,0.00835,0.00835
27,5763.37,0.83585,0.41558,0.84143,0.87982,0.61435,0.7185,0.50549,0.73939,0.36012,0.82136,0.008284,0.008284,0.008284
28,5975.75,0.83936,0.41537,0.84291,0.87927,0.61102,0.72091,0.51109,0.74196,0.35701,0.82265,0.008218,0.008218,0.008218
29,6188.4,0.8355,0.41043,0.84226,0.88136,0.61645,0.72657,0.51491,0.73758,0.35655,0.8206,0.008152,0.008152,0.008152
30,6400.96,0.82755,0.4086,0.83881,0.884,0.61979,0.72549,0.51265,0.73495,0.35327,0.81991,0.008086,0.008086,0.008086
31,6613.62,0.82434,0.40582,0.83775,0.88859,0.613,0.72465,0.51489,0.73212,0.34982,0.82029,0.00802,0.00802,0.00802
32,6826.48,0.81816,0.40237,0.83809,0.87955,0.62158,0.72435,0.51461,0.72469,0.34833,0.81858,0.007954,0.007954,0.007954
33,7038.57,0.81801,0.40121,0.83731,0.89436,0.61818,0.72737,0.51647,0.72363,0.34566,0.81867,0.007888,0.007888,0.007888
34,7251.44,0.81886,0.4012,0.83822,0.89294,0.61482,0.72823,0.51791,0.72396,0.3475,0.81819,0.007822,0.007822,0.007822
35,7463.59,0.81141,0.39838,0.83745,0.89227,0.61587,0.72936,0.51636,0.72345,0.3458,0.81821,0.007756,0.007756,0.007756
36,7676.23,0.80932,0.39784,0.83612,0.90237,0.61773,0.73444,0.52316,0.71306,0.34163,0.81635,0.00769,0.00769,0.00769
37,7888.82,0.80457,0.3954,0.83516,0.89045,0.62499,0.73334,0.52238,0.71043,0.34,0.81543,0.007624,0.007624,0.007624
38,8101.13,0.80638,0.39421,0.83569,0.88652,0.62855,0.73984,0.52806,0.7118,0.33943,0.81596,0.007558,0.007558,0.007558
39,8313.53,0.79955,0.39066,0.83532,0.89421,0.62327,0.73424,0.52491,0.71008,0.3393,0.81553,0.007492,0.007492,0.007492
40,8526.24,0.79671,0.38864,0.83315,0.90137,0.62135,0.73752,0.52893,0.70555,0.33618,0.81546,0.007426,0.007426,0.007426
41,8739.15,0.79489,0.38713,0.83233,0.89648,0.62921,0.74402,0.53389,0.70535,0.33237,0.81514,0.00736,0.00736,0.00736
42,8951.43,0.79415,0.38499,0.83221,0.8994,0.62525,0.74191,0.53358,0.70117,0.33226,0.81462,0.007294,0.007294,0.007294
43,9163.79,0.78662,0.38281,0.83061,0.89627,0.62625,0.74277,0.53371,0.70135,0.32997,0.81456,0.007228,0.007228,0.007228
44,9376.04,0.78827,0.38417,0.831,0.8878,0.62695,0.73838,0.52968,0.70082,0.33181,0.81452,0.007162,0.007162,0.007162
45,9588.59,0.78692,0.38148,0.83096,0.90154,0.62903,0.74548,0.53666,0.69871,0.32848,0.814,0.007096,0.007096,0.007096
46,9801.04,0.78319,0.38067,0.83055,0.90635,0.62895,0.74491,0.53558,0.6953,0.32641,0.81272,0.00703,0.00703,0.00703
47,10013.9,0.77932,0.37801,0.83207,0.89847,0.62727,0.74279,0.5344,0.6932,0.32411,0.81255,0.006964,0.006964,0.006964
48,10226.7,0.77859,0.3759,0.83033,0.89937,0.63117,0.7448,0.53871,0.69363,0.32475,0.81259,0.006898,0.006898,0.006898
49,10439.5,0.77714,0.37621,0.8293,0.90392,0.63004,0.74631,0.5387,0.69097,0.32329,0.81363,0.006832,0.006832,0.006832
